"Observation station","Year","Month","Day","Time [Local time]","Snow depth [cm]"
"Sotkamo Kuolaniemi","2010","10","10","03:00","-1"
"Sotkamo Kuolaniemi","2010","10","11","03:00","-1"
"Sotkamo Kuolaniemi","2010","10","12","03:00","-1"
"Sotkamo Kuolaniemi","2010","10","13","03:00","-1"
"Sotkamo Kuolaniemi","2010","10","14","03:00","-1"
"Sotkamo Kuolaniemi","2010","10","15","03:00","-1"
"Sotkamo Kuolaniemi","2010","10","16","03:00","-1"
"Sotkamo Kuolaniemi","2010","10","17","03:00","-1"
"Sotkamo Kuolaniemi","2010","10","18","03:00","-1"
"Sotkamo Kuolaniemi","2010","10","19","03:00","-1"
"Sotkamo Kuolaniemi","2010","10","20","03:00","-1"
"Sotkamo Kuolaniemi","2010","10","21","03:00","-1"
"Sotkamo Kuolaniemi","2010","10","22","03:00","-1"
"Sotkamo Kuolaniemi","2010","10","23","03:00","0"
"Sotkamo Kuolaniemi","2010","10","24","03:00","-1"
"Sotkamo Kuolaniemi","2010","10","25","03:00","-1"
"Sotkamo Kuolaniemi","2010","10","26","03:00","-1"
"Sotkamo Kuolaniemi","2010","10","27","03:00","-1"
"Sotkamo Kuolaniemi","2010","10","28","03:00","-1"
"Sotkamo Kuolaniemi","2010","10","29","03:00","-1"
"Sotkamo Kuolaniemi","2010","10","30","03:00","-1"
"Sotkamo Kuolaniemi","2010","10","31","03:00","-1"
"Sotkamo Kuolaniemi","2010","11","1","02:00","-1"
"Sotkamo Kuolaniemi","2010","11","2","02:00","-1"
"Sotkamo Kuolaniemi","2010","11","3","02:00","-1"
"Sotkamo Kuolaniemi","2010","11","4","02:00","-1"
"Sotkamo Kuolaniemi","2010","11","5","02:00","-1"
"Sotkamo Kuolaniemi","2010","11","6","02:00","-1"
"Sotkamo Kuolaniemi","2010","11","7","02:00","3"
"Sotkamo Kuolaniemi","2010","11","8","02:00","3"
"Sotkamo Kuolaniemi","2010","11","9","02:00","4"
"Sotkamo Kuolaniemi","2010","11","10","02:00","3"
"Sotkamo Kuolaniemi","2010","11","11","02:00","8"
"Sotkamo Kuolaniemi","2010","11","12","02:00","7"
"Sotkamo Kuolaniemi","2010","11","13","02:00","8"
"Sotkamo Kuolaniemi","2010","11","14","02:00","9"
"Sotkamo Kuolaniemi","2010","11","15","02:00","11"
"Sotkamo Kuolaniemi","2010","11","16","02:00","10"
"Sotkamo Kuolaniemi","2010","11","17","02:00","10"
"Sotkamo Kuolaniemi","2010","11","18","02:00","10"
"Sotkamo Kuolaniemi","2010","11","19","02:00","15"
"Sotkamo Kuolaniemi","2010","11","20","02:00","14"
"Sotkamo Kuolaniemi","2010","11","21","02:00","14"
"Sotkamo Kuolaniemi","2010","11","22","02:00","14"
"Sotkamo Kuolaniemi","2010","11","23","02:00","14"
"Sotkamo Kuolaniemi","2010","11","24","02:00","14"
"Sotkamo Kuolaniemi","2010","11","25","02:00","14"
"Sotkamo Kuolaniemi","2010","11","26","02:00","12"
"Sotkamo Kuolaniemi","2010","11","27","02:00","11"
"Sotkamo Kuolaniemi","2010","11","28","02:00","12"
"Sotkamo Kuolaniemi","2010","11","29","02:00","11"
"Sotkamo Kuolaniemi","2010","11","30","02:00","12"
"Sotkamo Kuolaniemi","2010","12","1","02:00","13"
"Sotkamo Kuolaniemi","2010","12","2","02:00","15"
"Sotkamo Kuolaniemi","2010","12","3","02:00","14"
"Sotkamo Kuolaniemi","2010","12","4","02:00","14"
"Sotkamo Kuolaniemi","2010","12","5","02:00","14"
"Sotkamo Kuolaniemi","2010","12","6","02:00","14"
"Sotkamo Kuolaniemi","2010","12","7","02:00","20"
"Sotkamo Kuolaniemi","2010","12","8","02:00","19"
"Sotkamo Kuolaniemi","2010","12","9","02:00","21"
"Sotkamo Kuolaniemi","2010","12","10","02:00","20"
"Sotkamo Kuolaniemi","2010","12","11","02:00","20"
"Sotkamo Kuolaniemi","2010","12","12","02:00","19"
"Sotkamo Kuolaniemi","2010","12","13","02:00","19"
